site,date_time,discharge,note
4198000,1/5/2019 19:30,1910,cubic feet per second
4198000,1/5/2019 19:45,1900,cubic feet per second
4198000,1/5/2019 20:00,1900,cubic feet per second
4198000,1/5/2019 20:15,1880,cubic feet per second
4198000,1/5/2019 20:30,1860,cubic feet per second
4198000,1/5/2019 20:45,1860,cubic feet per second
4198000,1/5/2019 21:00,1850,cubic feet per second
4198000,1/5/2019 21:15,1830,cubic feet per second
4198000,1/5/2019 21:30,1830,cubic feet per second
4198000,1/5/2019 21:45,1810,cubic feet per second
4198000,1/5/2019 22:00,1810,cubic feet per second
4198000,1/5/2019 22:15,1800,cubic feet per second
4198000,1/5/2019 22:30,1780,cubic feet per second
4198000,1/5/2019 22:45,1780,cubic feet per second
4198000,1/5/2019 23:00,1770,cubic feet per second
4198000,1/5/2019 23:15,1770,cubic feet per second
4198000,1/5/2019 23:30,1750,cubic feet per second
4198000,1/5/2019 23:45,1730,cubic feet per second
4198000,1/6/2019 0:00,1730,cubic feet per second
4198000,1/6/2019 0:15,1720,cubic feet per second
4198000,1/6/2019 0:30,1700,cubic feet per second
4198000,1/6/2019 0:45,1700,cubic feet per second
4198000,1/6/2019 1:00,1700,cubic feet per second
4198000,1/6/2019 1:15,1690,cubic feet per second
4198000,1/6/2019 1:30,1690,cubic feet per second
4198000,1/6/2019 1:45,1670,cubic feet per second
4198000,1/6/2019 2:00,1670,cubic feet per second
4198000,1/6/2019 2:15,1650,cubic feet per second
4198000,1/6/2019 2:30,1650,cubic feet per second
4198000,1/6/2019 2:45,1640,cubic feet per second
4198000,1/6/2019 3:00,1640,cubic feet per second
4198000,1/6/2019 3:15,1620,cubic feet per second
4198000,1/6/2019 3:30,1620,cubic feet per second
4198000,1/6/2019 3:45,1610,cubic feet per second
4198000,1/6/2019 4:00,1610,cubic feet per second
4198000,1/6/2019 4:15,1590,cubic feet per second
4198000,1/6/2019 4:30,1590,cubic feet per second
4198000,1/6/2019 4:45,1580,cubic feet per second
4198000,1/6/2019 5:00,1580,cubic feet per second
4198000,1/6/2019 5:15,1560,cubic feet per second
4198000,1/6/2019 5:30,1560,cubic feet per second
4198000,1/6/2019 5:45,1560,cubic feet per second
4198000,1/6/2019 6:00,1540,cubic feet per second
4198000,1/6/2019 6:15,1540,cubic feet per second
4198000,1/6/2019 6:30,1520,cubic feet per second
4198000,1/6/2019 6:45,1520,cubic feet per second
4198000,1/6/2019 7:00,1520,cubic feet per second
4198000,1/6/2019 7:15,1510,cubic feet per second
4198000,1/6/2019 7:30,1510,cubic feet per second
4198000,1/6/2019 7:45,1490,cubic feet per second
4198000,1/6/2019 8:00,1490,cubic feet per second
4198000,1/6/2019 8:15,1490,cubic feet per second
4198000,1/6/2019 8:30,1470,cubic feet per second
4198000,1/6/2019 8:45,1470,cubic feet per second
4198000,1/6/2019 9:00,1470,cubic feet per second
4198000,1/6/2019 9:15,1450,cubic feet per second
4198000,1/6/2019 9:30,1450,cubic feet per second
4198000,1/6/2019 9:45,1450,cubic feet per second
4198000,1/6/2019 10:00,1430,cubic feet per second
4198000,1/6/2019 10:15,1430,cubic feet per second
4198000,1/6/2019 10:30,1420,cubic feet per second
4198000,1/6/2019 10:45,1420,cubic feet per second
4198000,1/6/2019 11:00,1420,cubic feet per second
4198000,1/6/2019 11:15,1400,cubic feet per second
4198000,1/6/2019 11:30,1400,cubic feet per second
4198000,1/6/2019 11:45,1400,cubic feet per second
4198000,1/6/2019 12:00,1380,cubic feet per second
4198000,1/6/2019 12:15,1380,cubic feet per second
4198000,1/6/2019 12:30,1380,cubic feet per second
4198000,1/6/2019 12:45,1360,cubic feet per second
4198000,1/6/2019 13:00,1360,cubic feet per second
4198000,1/6/2019 13:15,1360,cubic feet per second
4198000,1/6/2019 13:30,1350,cubic feet per second
